id	text	count
BM2H31 26459	ILSA.BM2H31 AS::2_Series 218i Advantage AS.26459	10
BM2H31 26459	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26459	10
BM2H31 26460	ILSA.BM2H31 AS::2_Series 218i Sport Line AS.26460	10
BM2H31 26460	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26460	10
BM2H31 26461	ILSA.BM2H31 AS::2_Series 218i Luxury Line AS.26461	10
BM2H31 26461	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26461	10
BM2H31 26462	ILSA.BM2H31 AS::2_Series 218i M Sport AS.26462	10
BM2H31 26462	ILSA.BM2H31 ILSA::2_серия 218i Coupe AS.26462	10
BM6S11 26306	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Advantage AS.26306	34
BM6S11 26306	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26306	34
BM6S11 26464	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Sport Line AS.26464	34
BM6S11 26464	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26464	34
BM6S11 26465	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i Luxury Line AS.26465	34
BM6S11 26465	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26465	34
BM6S11 26466	ILSA.BM6S11 AS::2_Series_Active_Tourer 218i M Sport AS.26466	34
BM6S11 26466	ILSA.BM6S11 ILSA::2_серия 218i Active Tourer Advantage AS.26466	34
BMVJ11 21017	ILSA.BMVJ11 AS::X4 xDrive20d AS.21017	103
BMVJ11 21017	ILSA.BMVJ11 ILSA::X4 xDrive20d AS.21017	103
BMVJ11 25478	ILSA.BMVJ11 AS::X4 xDrive 20d AS.25478	103
BMVJ11 25478	ILSA.BMVJ11 ILSA::X4 xDrive20d AS.25478	103
BMVJ11 28558	ILSA.BMVJ11 AS::X4 xDrive20d AS.28558	103
BMVJ11 28558	ILSA.BMVJ11 ILSA::X4 xDrive20d AS.28558	103
DtFL5ALCABD3EQA--A-B 20646	ILSA.DtFL5ALCABD3EQA--A-B AS::mi-DO Dream AS.20646	10
DtFL5ALCABD3EQA--A-B 20646	ILSA.DtFL5ALCABD3EQA--A-B ILSA::mi-DO 1.6 4AT Dream I AS.20646	10
DtFL5ALCABD3EQA--A-B 27276	ILSA.DtFL5ALCABD3EQA--A-B AS::mi-DO Dream I  AS.27276	10
DtFL5ALCABD3EQA--A-B 27276	ILSA.DtFL5ALCABD3EQA--A-B ILSA::mi-DO 1.6 4AT Dream I AS.27276	10
